Source,Tweet Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
@BBC,"Delve into the world of @agathachristie with Bill Nighy. 🔍 #OrdealByInnocence
https://t.co/6amR2TK52M",Mon Apr 02 20:02:08 +0000 2018,0.0,0.0,0.0,1.0,1
@BBC,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/Y1DdScbWLQ",Mon Apr 02 19:23:07 +0000 2018,0.0,0.0,0.0,1.0,2
@BBC,"In a revealing and emotional journey, @LennyHenry investigates the relationship between the Commonwealth, the Carib… https://t.co/b58oqaOqQz",Mon Apr 02 19:02:04 +0000 2018,0.1531,0.103,0.0,0.897,3
@BBC,"A fictionalised account of how Dave Allen became one of TV's greats. 

Dave Allen at Peace | 9pm | @BBCTwo |… https://t.co/UFyHxzmRn2",Mon Apr 02 18:45:06 +0000 2018,0.5423,0.163,0.0,0.837,4
@BBC,"Would you try a blue cheese and pear ice cream? 🍦🧀

 https://t.co/g1zRQUKr0a",Mon Apr 02 17:08:03 +0000 2018,0.0,0.0,0.0,1.0,5
@BBC,"RT @BBCBreaking: South African anti-apartheid campaigner Winnie Mandela has died aged 81, her personal assistant says https://t.co/krdVvFLY…",Mon Apr 02 14:14:17 +0000 2018,-0.5574,0.0,0.184,0.816,6
@BBC,Is it easier to be a businesswoman in the West or in Asia? This is one woman's experience... https://t.co/fI84r6x06p,Mon Apr 02 13:32:07 +0000 2018,0.4215,0.141,0.0,0.859,7
@BBC,RT @BBCWorld: Hill Street Blues creator Steven Bochco dies aged 74 https://t.co/5lrOJWDuTu,Mon Apr 02 11:58:06 +0000 2018,0.0,0.0,0.0,1.0,8
@BBC,"""I have cerebral palsy. But that won't stop me from becoming a barrister."" 

This is Daniel's story. 
https://t.co/cvao6fjUoW",Mon Apr 02 11:07:00 +0000 2018,0.2235,0.106,0.0,0.894,9
@BBC,From Easter egg nest cakes to hot cross buns: @BBCFood have lots of Easter baking ideas!  🍰🍫🐣… https://t.co/BValJcDkAd,Mon Apr 02 10:02:06 +0000 2018,0.0,0.0,0.0,1.0,10
@BBC,"🥚 😮 @SandiToksvig knows how to squeeze an egg into a glass bottle! #QI
 https://t.co/ykMxxdLKq7",Mon Apr 02 09:03:04 +0000 2018,0.0,0.0,0.0,1.0,11
@BBC,RT @BBCScotlandNews: Commonwealth Games: Eilidh Doyle chosen to be Scotland's first female flag bearer https://t.co/sX7vzZFn0E https://t.co…,Mon Apr 02 08:16:56 +0000 2018,0.0,0.0,0.0,1.0,12
@BBC,"RT @BBCRadio4: Why we ❤ the Shipping Forecast - Discover the secrets of the iconic weather report 
https://t.co/ozBEl8gbWv https://t.co/eJt…",Mon Apr 02 08:14:23 +0000 2018,0.0,0.0,0.0,1.0,13
@BBC,"RT @BBCSport: ""The fans were demanding something, and I gave them Zlatan.""

Imagine football without this guy 😂🙈 https://t.co/CZIQnYFIPL",Mon Apr 02 08:14:09 +0000 2018,-0.2263,0.0,0.101,0.899,14
@BBC,"RT @CBeebiesHQ: Autism feels different for everybody 🤔

The #Pablo cast, show us how a person with autism might experience the world in thi…",Mon Apr 02 08:13:54 +0000 2018,0.0,0.0,0.0,1.0,15
@BBC,"If there's one thing we love even more than chocolate, it's news that it may actually be good for us! But can choco… https://t.co/O5KlptGCV5",Mon Apr 02 08:08:05 +0000 2018,0.8122,0.251,0.0,0.749,16
@BBC,When you wake up and remember it's STILL the weekend. 😊💤 #BankHoliday https://t.co/QMJ5lXS6dd,Mon Apr 02 08:02:00 +0000 2018,0.0,0.0,0.0,1.0,17
@BBC,"12-year-old Keilan has severe curvature of the spine. He needs surgery ASAP, but the operation could leave him para… https://t.co/5wl8aXiahP",Mon Apr 02 07:26:06 +0000 2018,-0.2732,0.0,0.147,0.853,18
